Date,Close
2024-10-09,53.03
2024-10-10,53.21
2024-10-11,53.20
2024-10-14,54.05
2024-10-15,55.51
2024-10-16,56.16
2024-10-17,55.21
2024-10-18,54.23
2024-10-21,54.05
2024-10-22,54.94
2024-10-23,55.19
2024-10-24,55.26
2024-10-25,54.47
2024-10-28,55.25
2024-10-29,55.92
2024-10-30,53.03
2024-10-31,53.14
2024-11-01,53.72
2024-11-04,55.18
2024-11-05,55.00
2024-11-06,55.08
2024-11-07,54.77
2024-11-08,54.10
2024-11-11,54.49
2024-11-12,54.42
2024-11-13,53.72
2024-11-14,53.37
2024-11-18,53.03
2024-11-19,53.16
2024-11-21,52.76
2024-11-22,53.04
2024-11-25,51.21
2024-11-26,51.83
2024-11-27,50.98
2024-11-28,51.96
2024-11-29,52.97
2024-12-02,52.88
2024-12-03,53.62
2024-12-04,54.01
2024-12-05,53.94
2024-12-06,54.60
2024-12-09,54.75
2024-12-10,55.86
2024-12-11,57.50
2024-12-12,56.76
2024-12-13,56.62
2024-12-16,56.08
2024-12-17,56.86
2024-12-18,56.02
2024-12-19,55.45
2024-12-20,54.54
2024-12-23,53.33
2024-12-26,53.74
2024-12-27,52.78
2024-12-30,51.88
2025-01-02,51.83
2025-01-03,51.58
2025-01-06,51.59
2025-01-07,52.62
2025-01-08,52.32
2025-01-09,53.38
2025-01-10,52.45
2025-01-13,52.36
2025-01-14,52.04
2025-01-15,53.25
2025-01-16,52.77
2025-01-17,53.26
2025-01-20,54.20
2025-01-21,54.70
2025-01-22,55.49
2025-01-23,56.29
2025-01-24,56.90
2025-01-27,52.41
2025-01-28,53.18
2025-01-29,53.52
2025-01-30,55.27
2025-01-31,54.12
2025-02-03,52.99
2025-02-04,53.15
2025-02-05,53.56
2025-02-06,53.61
2025-02-07,53.03
2025-02-10,53.30
2025-02-11,52.22
2025-02-12,51.81
2025-02-13,51.59
2025-02-14,52.90
2025-02-17,51.57
2025-02-18,52.00
2025-02-19,51.33
2025-02-20,51.23
2025-02-21,52.06
2025-02-24,50.68
2025-02-25,51.52
2025-02-26,47.05
2025-02-27,48.08
2025-02-28,47.61
2025-03-05,47.15
2025-03-06,46.78
2025-03-07,47.38
2025-03-10,47.18
2025-03-11,46.11
2025-03-12,46.70
2025-03-13,46.25
2025-03-14,46.25
2025-03-17,47.15
2025-03-18,47.15
2025-03-19,47.63
2025-03-20,47.39
2025-03-21,47.34
2025-03-24,46.93
2025-03-25,46.57
2025-03-26,46.32
2025-03-27,45.96
2025-03-28,45.43
2025-03-31,44.86
2025-04-01,44.93
2025-04-02,44.49
2025-04-03,43.86
2025-04-04,43.32
2025-04-07,43.60
2025-04-08,43.60
2025-04-09,44.99
2025-04-10,44.50
2025-04-11,44.71
2025-04-14,45.40
2025-04-15,45.40
2025-04-16,45.42
2025-04-17,45.53
2025-04-22,45.82
2025-04-23,45.85
2025-04-24,48.14
2025-04-25,49.43
2025-04-28,49.86
2025-04-29,50.01
2025-04-30,44.23
2025-05-02,44.01
2025-05-05,42.14
2025-05-06,42.56
2025-05-07,41.57
2025-05-08,41.82
2025-05-09,41.41
2025-05-12,42.28
2025-05-13,43.60
2025-05-14,43.67
2025-05-15,43.76
2025-05-16,44.59
2025-05-19,44.14
2025-05-20,44.12
2025-05-21,43.05
2025-05-22,43.27
2025-05-23,43.29
2025-05-26,43.33
2025-05-27,44.18
2025-05-28,44.25
2025-05-29,43.62
2025-05-30,41.96
2025-06-02,41.47
2025-06-03,41.32
2025-06-04,42.76
2025-06-05,42.15
2025-06-06,42.18
2025-06-09,42.45
2025-06-10,41.91
2025-06-11,41.90
2025-06-12,41.87
2025-06-13,42.00
2025-06-16,42.15
2025-06-17,41.03
2025-06-18,41.48
2025-06-20,41.26
2025-06-23,41.30
2025-06-24,41.14
2025-06-25,41.52
2025-06-26,42.76
2025-06-27,42.04
2025-06-30,42.47
2025-07-01,42.19
2025-07-02,42.12
2025-07-03,42.40
2025-07-04,42.69
2025-07-07,42.02
2025-07-08,40.31
2025-07-09,39.82
2025-07-10,39.61
2025-07-11,39.46
2025-07-14,39.24
2025-07-15,39.38
2025-07-16,40.82
2025-07-17,41.78
2025-07-18,42.06
2025-07-21,41.66
2025-07-22,41.02
2025-07-23,37.73
2025-07-24,35.97
2025-07-25,35.91
2025-07-28,36.63
2025-07-29,36.48
2025-07-30,36.75
2025-07-31,37.01
2025-08-01,37.08
2025-08-04,36.97
2025-08-05,37.03
2025-08-06,38.06
2025-08-07,38.90
2025-08-08,38.00
2025-08-11,37.12
2025-08-12,36.51
2025-08-13,36.52
2025-08-14,36.40
2025-08-15,35.88
2025-08-18,36.32
2025-08-19,35.51
2025-08-20,35.98
2025-08-21,35.82
2025-08-22,37.40
2025-08-25,37.63
2025-08-26,37.49
2025-08-27,37.64
2025-08-28,37.72
2025-08-29,37.56
2025-09-01,37.71
2025-09-02,37.58
2025-09-03,37.75
2025-09-04,37.15
2025-09-05,37.75
2025-09-08,37.34
2025-09-09,36.88
2025-09-10,37.18
2025-09-11,36.73
2025-09-12,36.85
2025-09-15,36.42
2025-09-16,36.67
2025-09-17,36.61
2025-09-18,36.63
2025-09-19,36.26
2025-09-22,37.01
2025-09-23,36.60
2025-09-24,36.79
2025-09-25,36.26
2025-09-26,36.23
2025-09-29,36.37
2025-09-30,36.59
2025-10-01,35.79
2025-10-02,36.13
2025-10-03,36.40
2025-10-06,35.68
2025-10-07,35.73
2025-10-08,35.50
2025-10-09,37.20
2025-10-10,36.69
2025-10-13,37.84
